Device,Dist_GW_m,SINR_dB,RxPower_dBm,SF,Pac_Env,Pac_Rec,PDR_%,Delay_ms
0,425.7421228311411,9.1565012308415,-104.87439863907794,9,42,27,65.7825061542075,114.3945863098042
1,152.4088991398786,22.540590085302796,-91.49030978461664,7,42,42,100.0,164.4115250088753
2,220.6266224652597,17.721162374915238,-96.3097374950042,7,42,42,100.0,50.46198028054972
3,701.6018704345973,2.6481777249292833,-111.38272214499015,10,42,10,33.240888624646416,234.45811936451204
4,154.67594661385948,22.34821639269454,-91.6826834772249,7,42,42,100.0,58.76579080520995
5,761.8446843285187,1.5749066200595365,-112.4559932498599,10,42,12,27.874533100297683,238.86576433274064
6,543.9448693832624,5.964253327647157,-108.06664654227228,9,42,22,49.821266638235784,122.69749336540123
7,258.2586551007372,15.669253317567126,-98.36164655235231,7,42,41,98.34626658783563,63.5411879526403
8,499.4343230623887,7.076548306689702,-106.95435156322974,9,42,25,55.38274153344851,178.61787758328953
9,520.9519279455913,6.526970381558883,-107.50392948836055,9,42,21,52.63485190779441,204.59780387317005
10,625.9411864369803,4.134894008071143,-109.8960058618483,10,42,18,40.674470040355715,222.00221527936287
11,468.582432331087,7.907319798217046,-106.12358007170239,9,42,29,59.53659899108523,132.920815360351
12,296.02736771808156,13.890943967254572,-100.13995590266487,8,42,39,89.45471983627286,83.98501018312106
13,551.6399885178618,5.781227647170724,-108.24967222274871,9,42,27,48.90613823585362,134.96937485200118
14,594.2328350418359,4.812200502260168,-109.21869936765927,10,42,22,44.06100251130084,229.86671928682415
15,596.7292186982003,4.757580765329422,-109.27331910459002,10,42,21,43.78790382664711,214.92176621943852
16,713.238934159199,2.4338485997254367,-111.597051270194,10,42,14,32.16924299862718,213.9146716670847
17,223.39969551210896,17.558422564477254,-96.47247730544218,7,42,42,100.0,114.0880901532902
18,319.8896532001053,12.880894076971472,-101.15000579294797,8,42,37,84.40447038485736,71.23082405403443
19,316.7503306036767,13.00938756458632,-101.02151230533312,8,42,35,85.0469378229316,79.74667851124113
20,509.9936304223557,6.803957309904746,-107.22694256001469,9,42,18,54.01978654952373,263.8781206394012
21,733.1321703691694,2.0754315575262865,-111.95546831239315,10,42,17,30.377157787631432,203.11436982486833
22,498.9483512464244,7.089232114219627,-106.94166775569981,9,42,30,55.44616057109813,241.7761728665945
23,494.94029509405453,7.194315482220077,-106.83658438769936,9,42,24,55.971577411100384,280.0421008061028
24,577.1163654474251,5.192998173180641,-108.8379016967388,9,42,25,45.964990865903204,205.86935085897096
25,221.0182516458782,17.69805569622673,-96.3328441736927,7,42,42,100.0,74.31459660493468
26,238.505367415161,16.70595515950879,-97.32494471041065,7,42,42,100.0,69.05731157153585
27,229.510716766015,17.20681079154062,-96.82408907837882,7,42,42,100.0,90.68684960301138
28,215.03535821211025,18.055603568191927,-95.97529630172751,7,42,42,100.0,109.54127988789685
29,328.4590260241485,12.536463847701327,-101.49443602221811,8,42,34,82.68231923850664,75.11140986746615
30,474.0256665677421,7.7568441420414445,-106.274055727878,9,42,24,58.78422071020722,340.52848739231587
31,401.05179392942387,9.934885970725617,-104.09601389919382,9,42,32,69.67442985362808,146.52476624907518
32,512.8326707027836,6.731629328537295,-107.29927054138214,9,42,19,53.658146642686475,177.5017124176835
33,611.3082892636343,4.44309132566913,-109.58780854425031,10,42,19,42.21545662834565,240.6143778112245
34,715.7843625599747,2.3874336806593135,-111.64346618926012,10,42,12,31.937168403296567,197.37810421335476
35,551.7329331727385,5.779032631322295,-108.25186723859714,9,42,23,48.895163156611474,193.06640995435146
36,747.350330639835,1.8251729400462722,-112.20572692987317,10,42,16,29.12586470023136,302.23079809183184
37,47.979034729161505,37.5993546801912,-76.43154518972824,7,42,42,100.0,84.80921887755997
38,676.2899234037333,3.1269123729653217,-110.90398749695412,10,42,18,35.63456186482661,232.48595374439
39,376.7271127699919,10.750093554556457,-103.28080631536298,8,42,30,73.75046777278229,149.43097374771025
40,169.84036507909858,21.129672429116482,-92.90122744080296,7,42,42,100.0,70.62412035688271
41,336.9468307351552,12.204058595122603,-101.82684127479683,8,42,35,81.02029297561302,74.93480195936803
42,449.94910528193594,8.435998093008592,-105.59490177691085,9,42,26,62.17999046504296,111.83020521054284
43,114.27698897858905,26.29213620365543,-87.738763666264,7,42,42,100.0,89.1147292843563
44,309.82557113333735,13.297382101458297,-100.73351776846114,8,42,38,86.48691050729148,114.68162650730876
45,631.4763340144913,4.020187498690035,-110.0107123712294,10,42,11,40.100937493450175,181.90317496413948
46,189.03072086539743,19.734928154545273,-94.29597171537417,7,42,42,100.0,72.32925121038724
47,257.0609248359718,15.72981789943691,-98.30108197048253,7,42,42,98.64908949718455,86.93267941395078
48,394.4998880632985,10.14949334040027,-103.88140652951917,8,42,28,70.74746670200135,82.15590017149516
49,110.84535183346173,26.689375283455178,-87.34152458646426,7,42,42,100.0,54.460551449494865
50,637.1860052432612,3.902913010113082,-110.12798685980636,10,42,12,39.51456505056541,217.89544703127603
51,498.07009786641396,7.1121857935007995,-106.91871407641864,9,42,23,55.560928967504,160.72687241023078
52,524.9147221179883,6.428237266131731,-107.6026626037877,9,42,20,52.141186330658655,296.17785043499964
53,339.6624414105085,12.099474063462026,-101.93142580645741,8,42,34,80.49737031731013,89.50098570529894
54,241.4011330743519,16.548720742963894,-97.48217912695554,7,42,42,100.0,65.79257327180686
55,331.5843903585899,12.413077543550756,-101.61782232636868,8,42,35,82.06538771775378,74.0852584291835
56,188.86297884483383,19.74649481026161,-94.28440505965783,7,42,42,100.0,214.3689961634301
57,168.36673948446386,21.24321082122998,-92.78768904868946,7,42,42,100.0,109.53213663996708
58,565.9805565409023,5.446854513707919,-108.58404535621152,9,42,19,47.234272568539595,119.51532680710544
59,254.3614732847522,15.867359916161263,-98.16353995375817,7,42,42,99.33679958080631,64.40029945632918
60,156.9778307233465,22.15575017172121,-91.87514969819823,7,42,42,100.0,112.69246438883879
61,336.50800315360453,12.221037945293432,-101.809861924626,8,42,33,81.10518972646716,86.4206130694498
62,484.1234361485015,7.482216656736512,-106.54868321318293,9,42,19,57.41108328368256,176.9508702437613
63,129.95103097621637,24.61750798916657,-89.41339188075287,7,42,42,100.0,97.30152360187175
64,510.79461548569816,6.783510554220456,-107.24738931569898,9,42,23,53.91755277110228,124.23306461370318
65,472.8253641903867,7.7898768976536985,-106.24102297226574,9,42,26,58.94938448826849,180.90909238783564
66,358.2620692285744,11.404874971578707,-102.62602489834073,8,42,38,77.02437485789353,76.1690196119988
67,468.36939598920844,7.913244575127919,-106.11765529479152,9,42,30,59.566222875639596,112.07907259586462
68,235.93430190862927,16.84716727540048,-97.18373259451896,7,42,42,100.0,110.81203058503442
69,445.49901949794406,8.565497293958288,-105.46540257596115,9,42,27,62.82748646979144,115.14784592239066
70,541.6223166388784,6.020003357281524,-108.01089651263791,9,42,21,50.10001678640762,142.07251660471854
71,515.3577498851386,6.667635531008841,-107.3632643389106,9,42,25,53.338177655044205,138.4449565651162
72,287.2190002808593,14.284504883153872,-99.74639498676557,8,42,39,91.42252441576936,117.83612164565673
73,284.41139541435393,14.412490075864028,-99.61840979405541,8,42,38,92.06245037932014,72.31811620102674
74,283.3618073449975,14.460660453453613,-99.57023941646582,8,42,39,92.30330226726807,119.15624973913643
75,534.4110348040033,6.194637356796164,-107.83626251312327,9,42,21,50.97318678398082,207.06747265877192
76,510.44933979941385,6.792320476485912,-107.23857939343353,9,42,21,53.96160238242956,118.89264343836537
77,559.9455185299618,5.586526675064576,-108.44437319485486,9,42,15,47.93263337532288,161.41970735544456
78,78.72666916724948,31.147243549655585,-82.88365632026385,7,42,42,100.0,94.06736889036453
79,512.8253248367715,6.731815956190246,-107.29908391372919,9,42,18,53.65907978095123,152.83912227887723
80,399.9270572819189,9.971476243234164,-104.05942362668527,9,42,30,69.85738121617082,161.5413578922491
81,243.83973068126198,16.417765770354023,-97.61313409956541,7,42,42,100.0,89.44071802881601
82,665.2023024979825,3.342287556060924,-110.68861231385851,10,42,20,36.71143778030462,204.39637636750936
83,371.0646908627276,10.9474109559511,-103.08348891396834,8,42,26,74.7370547797555,187.87880918849595
84,592.2981364806695,4.854688882626064,-109.17621098729337,10,42,16,44.27344441313032,183.59420776515785
85,677.7673793472796,3.0984799919925052,-110.93241987792693,10,42,11,35.492399959962526,180.91949439236168
86,559.9461014605117,5.586513111420544,-108.4443867584989,9,42,16,47.93256555710272,167.44374362885836
87,585.1006340169242,5.013982808503428,-109.01691706141601,9,42,14,45.06991404251714,129.20785941474344
88,368.03472581788174,11.054235919531536,-102.9766639503879,8,42,29,75.27117959765768,71.17735015903557
89,640.3113949895289,3.8391629518316535,-110.19173691808778,10,42,19,39.19581475915827,196.55417334198148
90,359.4474869038266,11.361836322961679,-102.66906354695776,8,42,35,76.8091816148084,129.65777042199568
91,216.1785631989041,17.98652108880208,-96.04437878111736,7,42,42,100.0,154.97079070434734
92,500.2242634099103,7.055957268308532,-106.9749426016109,9,42,21,55.27978634154266,191.3497902996989
93,206.0717059700349,18.61034887704156,-95.42055099287788,7,42,42,100.0,59.76666480202235
94,553.8663754751335,5.728749855518586,-108.30215001440085,9,42,23,48.64374927759293,192.210459162171
95,673.191245526888,3.186746082360486,-110.84415378755895,10,42,23,35.93373041180243,206.60396770763026
96,190.50160422533077,19.633940752519052,-94.39695911740039,7,42,42,100.0,124.89772516717935
97,486.7119540546351,7.4127394795604715,-106.61816039035897,9,42,25,57.06369739780236,243.5068962199663
98,149.06226203136006,22.829868648021318,-91.20103122189812,7,42,42,100.0,78.01778047210799
99,140.3040838966804,23.61879049716272,-90.41210937275672,7,42,42,100.0,120.23164934275086
